nd_id_new;prop;pv_power_tot_est
SFH_RUR_0;0.395;3153.183529
SFH_RUR_1;0.315;2514.56408
SFH_RUR_2;0.208;1660.410567
SFH_RUR_3;0.083;662.5676783
SFH_SUB_0;0.408;2362.917406
SFH_SUB_1;0.278;1610.027056
SFH_SUB_2;0.089;515.4403165
SFH_SUB_3;0.226;1308.870916
SFH_URB_0;0.065;157.09233
SFH_URB_1;0.313;756.459989
SFH_URB_2;0.453;1094.8127
SFH_URB_3;0.169;408.440058
MFH_RUR_0;0.071;146.9482658
MFH_RUR_1;0.274;567.0961243
MFH_RUR_2;0.216;447.053879
MFH_RUR_3;0.439;908.5956151
MFH_SUB_0;0.453;1141.393183
MFH_SUB_1;0.199;501.4067184
MFH_SUB_2;0.333;839.0373729
MFH_SUB_3;0.015;37.79447626
MFH_URB_0;0.397;1370.18982
MFH_URB_1;0.03;103.5407925
MFH_URB_2;0.476;1642.847241
MFH_URB_3;0.097;334.7818957
OCO_RUR;1;2852.557679
OCO_SUB;1;2282.504921
OCO_URB;1;2989.286186
IND_RUR;1;4968.448493
IND_SUB;1;2737.370753
IND_URB;1;1667.874778