nd_id;pt_id;discharge_duration;st_lss_rt;fc_om;fc_om_yr2020;fc_om_yr2025;fc_om_yr2030;fc_om_yr2035;fc_om_yr2040;fc_om_yr2045;fc_om_yr2050;fc_cp_ann;fc_cp_ann_yr2020;fc_cp_ann_yr2025;fc_cp_ann_yr2030;fc_cp_ann_yr2035;fc_cp_ann_yr2040;fc_cp_ann_yr2045;fc_cp_ann_yr2050
IND_RUR;PHO_IND;0;0;17500;15500;13500;11500;9500;9333.333333;9166.666667;9000;75179.12887;64921.51504;54663.90121;44406.28737;34148.67354;31758.36277;29368.05201;26977.74125
IND_RUR;STO_LI_IND;2;0.1;14412;12237;10062;7887;5712;5712;5712;5712;86415.40924;73373.94968;60332.49013;47291.03058;34249.57102;34249.57102;34249.57102;34249.57102
IND_SUB;PHO_IND;0;0;17500;15500;13500;11500;9500;9333.333333;9166.666667;9000;75179.12887;64921.51504;54663.90121;44406.28737;34148.67354;31758.36277;29368.05201;26977.74125
IND_SUB;STO_LI_IND;2;0.1;14412;12237;10062;7887;5712;5712;5712;5712;86415.40924;73373.94968;60332.49013;47291.03058;34249.57102;34249.57102;34249.57102;34249.57102
IND_URB;PHO_IND;0;0;17500;15500;13500;11500;9500;9333.333333;9166.666667;9000;75179.12887;64921.51504;54663.90121;44406.28737;34148.67354;31758.36277;29368.05201;26977.74125
IND_URB;STO_LI_IND;2;0.1;14412;12237;10062;7887;5712;5712;5712;5712;86415.40924;73373.94968;60332.49013;47291.03058;34249.57102;34249.57102;34249.57102;34249.57102
MFH_RUR_0;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_RUR_0;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_SUB_0;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_SUB_0;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_URB_0;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_URB_0;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
OCO_RUR;PHO_OCO;0;0;60000;54750;49500;44250;39000;38000;37000;36000;95853.38931;84894.58553;73935.78174;62976.97796;52018.17417;49627.86341;47237.55264;44847.24188
OCO_RUR;STO_LI_OCO;2;0.1;14412;12237;10062;7887;5712;5712;5712;5712;86415.40924;73373.94968;60332.49013;47291.03058;34249.57102;34249.57102;34249.57102;34249.57102
OCO_SUB;PHO_OCO;0;0;60000;54750;49500;44250;39000;38000;37000;36000;95853.38931;84894.58553;73935.78174;62976.97796;52018.17417;49627.86341;47237.55264;44847.24188
OCO_SUB;STO_LI_OCO;2;0.1;14412;12237;10062;7887;5712;5712;5712;5712;86415.40924;73373.94968;60332.49013;47291.03058;34249.57102;34249.57102;34249.57102;34249.57102
OCO_URB;PHO_OCO;0;0;60000;54750;49500;44250;39000;38000;37000;36000;95853.38931;84894.58553;73935.78174;62976.97796;52018.17417;49627.86341;47237.55264;44847.24188
OCO_URB;STO_LI_OCO;2;0.1;14412;12237;10062;7887;5712;5712;5712;5712;86415.40924;73373.94968;60332.49013;47291.03058;34249.57102;34249.57102;34249.57102;34249.57102
SFH_RUR_0;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_RUR_0;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_SUB_0;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_SUB_0;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_URB_0;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_URB_0;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_RUR_1;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_RUR_1;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_SUB_1;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_SUB_1;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_URB_1;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_URB_1;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_RUR_2;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_RUR_2;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_SUB_2;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_SUB_2;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_URB_2;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_URB_2;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_RUR_3;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_RUR_3;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_SUB_3;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_SUB_3;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
MFH_URB_3;PHO_MFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
MFH_URB_3;STO_LI_MFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_RUR_1;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_RUR_1;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_RUR_2;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_RUR_2;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_RUR_3;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_RUR_3;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_SUB_1;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_SUB_1;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_SUB_2;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_SUB_2;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_SUB_3;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_SUB_3;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_URB_1;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_URB_1;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_URB_2;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_URB_2;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669
SFH_URB_3;PHO_SFH;0;0;103000;94375;85750;77125;68500;66500;64500;62500;146975.1969;128592.4542;110209.7114;91826.96866;73444.2259;70186.46365;66928.7014;63670.93915
SFH_URB_3;STO_LI_SFH;2;0.1;29662.5;23714.625;17766.75;11818.875;5871;5871;5871;5871;177858.526;142194.6312;106530.7363;70866.84151;35202.94669;35202.94669;35202.94669;35202.94669