pp;ca_id;pp_eff;cap_avlb;cap_pwr_leg;cap_pwr_leg_yr2020;cap_pwr_leg_yr2025;cap_pwr_leg_yr2030;cap_pwr_leg_yr2035;cap_pwr_leg_yr2040;cap_pwr_leg_yr2045;cap_pwr_leg_yr2050;cap_pwr_leg_hp_retr_1pc;cap_pwr_leg_yr2020_hp_retr_1pc;cap_pwr_leg_yr2025_hp_retr_1pc;cap_pwr_leg_yr2030_hp_retr_1pc;cap_pwr_leg_yr2035_hp_retr_1pc;cap_pwr_leg_yr2040_hp_retr_1pc;cap_pwr_leg_yr2045_hp_retr_1pc;cap_pwr_leg_yr2050_hp_retr_1pc;cap_pwr_leg_hp_retr_2pc;cap_pwr_leg_yr2020_hp_retr_2pc;cap_pwr_leg_yr2025_hp_retr_2pc;cap_pwr_leg_yr2030_hp_retr_2pc;cap_pwr_leg_yr2035_hp_retr_2pc;cap_pwr_leg_yr2040_hp_retr_2pc;cap_pwr_leg_yr2045_hp_retr_2pc;cap_pwr_leg_yr2050_hp_retr_2pc
MFH_RUR_HT_0_DHW_AW;4;2;1;0.00;34.31;68.63;102.94;137.26;171.57;205.88;240.20;0.00;25.66;51.31;76.97;102.63;128.28;153.94;179.60;0.00;17.26;34.52;51.77;69.03;86.29;103.55;120.80
MFH_RUR_HT_1_DHW_AW;4;2;1;0.00;86.93;174.86;261.79;349.72;436.65;524.58;611.50;0.00;72.00;143.99;215.99;287.99;359.98;431.98;503.97;0.00;56.24;112.48;168.71;224.95;281.19;337.43;393.67
MFH_RUR_HT_2_DHW_AW;4;2;1;0.00;109.82;219.64;329.46;439.28;549.10;658.92;768.73;0.00;83.31;166.62;249.93;333.24;416.55;499.86;583.17;0.00;55.99;111.98;167.96;223.95;279.94;335.93;391.92
MFH_RUR_HT_3_DHW_AW;4;2;1;0.00;215.69;431.37;647.06;862.75;1077.44;1293.12;1508.81;0.00;163.36;326.72;490.08;653.44;816.80;980.16;1143.52;0.00;112.55;225.11;337.66;450.21;562.77;675.32;787.87
MFH_SUB_HT_0_DHW_AW;4;2;1;0.00;656.58;1313.17;1970.75;2627.33;3283.92;3940.50;4597.09;0.00;501.34;1002.69;1504.03;2005.38;2506.72;3008.07;3509.41;0.00;334.97;669.94;1004.92;1339.89;1674.86;2009.83;2344.80
MFH_SUB_HT_1_DHW_AW;4;2;1;0.00;167.00;333.00;500.00;667.00;833.01;1000.01;1166.01;0.00;140.45;280.91;421.36;561.82;702.27;842.73;983.18;0.00;113.60;227.20;340.80;454.40;568.00;681.60;795.20
MFH_SUB_HT_2_DHW_AW;4;2;1;0.00;406.49;813.98;1220.48;1627.97;2034.46;2440.95;2848.45;0.00;310.64;621.27;931.91;1242.54;1553.18;1863.81;2174.45;0.00;222.86;445.72;668.58;891.44;1114.30;1337.15;1560.01
MFH_SUB_HT_3_DHW_AW;4;2;1;0.00;18.19;36.37;54.56;72.74;90.93;109.11;127.30;0.00;14.37;28.75;43.12;57.49;71.86;86.24;100.61;0.00;8.71;17.42;26.14;34.85;43.56;52.27;60.99
MFH_URB_HT_0_DHW_AW;4;2;1;0.00;393.09;786.18;1178.26;1571.35;1964.44;2357.53;2749.62;0.00;300.93;601.85;902.78;1203.70;1504.63;1805.56;2106.48;0.00;208.38;416.76;625.13;833.51;1041.89;1250.27;1458.65
MFH_URB_HT_1_DHW_AW;4;2;1;0.00;15.25;29.50;44.74;59.99;74.24;89.49;104.73;0.00;14.36;28.73;43.09;57.46;71.82;86.19;100.55;0.00;14.18;28.35;42.53;56.70;70.88;85.05;99.23
MFH_URB_HT_2_DHW_AW;4;2;1;0.00;500.63;1001.27;1501.90;2002.54;2503.17;3002.80;3503.44;0.00;373.38;746.75;1120.13;1493.51;1866.89;2240.26;2613.64;0.00;256.53;513.06;769.59;1026.12;1282.66;1539.19;1795.72
MFH_URB_HT_3_DHW_AW;4;2;1;0.00;61.74;124.48;186.22;247.96;310.70;372.44;434.18;0.00;49.84;99.67;149.51;199.35;249.18;299.02;348.86;0.00;37.97;75.93;113.90;151.86;189.83;227.79;265.76
SFH_RUR_HT_0_DHW_AW;4;2;1;0.00;471.83;943.66;1415.49;1888.31;2360.14;2831.97;3303.80;0.00;366.15;732.30;1098.46;1464.61;1830.76;2196.91;2563.06;0.00;258.55;517.10;775.65;1034.20;1292.75;1551.30;1809.85
SFH_RUR_HT_1_DHW_AW;4;2;1;0.00;405.15;810.29;1214.44;1619.59;2024.74;2429.88;2835.03;0.00;308.95;617.90;926.86;1235.81;1544.76;1853.71;2162.66;0.00;213.21;426.42;639.63;852.83;1066.04;1279.25;1492.46
SFH_RUR_HT_2_DHW_AW;4;2;1;0.00;156.61;314.22;470.83;628.44;785.05;942.66;1099.28;0.00;131.59;263.17;394.76;526.35;657.93;789.52;921.11;0.00;104.40;208.81;313.21;417.61;522.01;626.42;730.82
SFH_RUR_HT_3_DHW_AW;4;2;1;0.00;101.67;203.33;305.00;406.66;508.33;609.99;711.66;0.00;77.31;154.63;231.94;309.25;386.57;463.88;541.19;0.00;53.88;107.76;161.65;215.53;269.41;323.29;377.18
SFH_SUB_HT_0_DHW_AW;4;2;1;0.00;676.89;1353.79;2029.68;2706.57;3383.47;4060.36;4736.25;0.00;524.24;1048.48;1572.72;2096.96;2621.20;3145.44;3669.68;0.00;364.38;728.75;1093.13;1457.51;1821.88;2186.26;2550.64
SFH_SUB_HT_1_DHW_AW;4;2;1;0.00;378.00;756.99;1134.99;1512.98;1890.98;2269.98;2647.97;0.00;297.79;595.57;893.36;1191.15;1488.94;1786.72;2084.51;0.00;211.89;423.77;635.66;847.54;1059.43;1271.31;1483.20
SFH_SUB_HT_2_DHW_AW;4;2;1;0.00;154.86;309.71;464.57;620.42;775.28;930.13;1084.99;0.00;117.18;234.36;351.55;468.73;585.91;703.09;820.27;0.00;80.31;160.62;240.93;321.23;401.54;481.85;562.16
SFH_SUB_HT_3_DHW_AW;4;2;1;0.00;214.51;429.03;643.54;858.06;1072.57;1287.09;1501.60;0.00;178.23;356.46;534.69;712.93;891.16;1069.39;1247.62;0.00;142.73;285.46;428.19;570.92;713.65;856.38;999.11
SFH_URB_HT_0_DHW_AW;4;2;1;0.00;25.13;51.26;76.38;102.51;127.64;152.77;178.89;0.00;19.72;39.43;59.15;78.87;98.59;118.30;138.02;0.00;13.44;26.87;40.31;53.75;67.18;80.62;94.05
SFH_URB_HT_1_DHW_AW;4;2;1;0.00;106.87;213.73;319.60;426.47;533.34;640.20;746.07;0.00;84.47;168.94;253.42;337.89;422.36;506.83;591.31;0.00;56.71;113.42;170.14;226.85;283.56;340.27;396.99
SFH_URB_HT_2_DHW_AW;4;2;1;0.00;165.10;331.20;496.30;661.39;826.49;992.59;1157.69;0.00;126.88;253.75;380.63;507.51;634.39;761.26;888.14;0.00;90.73;181.46;272.19;362.92;453.66;544.39;635.12
SFH_URB_HT_3_DHW_AW;4;2;1;0.00;36.50;72.00;108.49;143.99;180.49;215.99;252.49;0.00;29.94;59.88;89.83;119.77;149.71;179.65;209.60;0.00;24.12;48.24;72.36;96.48;120.60;144.72;168.84
MFH_RUR_HT_0_DHW_WW;5;2.7;1;0.00;7.14;15.29;22.43;30.57;37.71;44.86;53.00;0.00;5.66;11.32;16.97;22.63;28.29;33.95;39.60;0.00;3.83;7.66;11.49;15.32;19.15;22.98;26.81
MFH_RUR_HT_1_DHW_WW;5;2.7;1;0.00;15.45;29.90;45.34;59.79;75.24;89.69;105.14;0.00;12.42;24.85;37.27;49.70;62.12;74.54;86.97;0.00;9.77;19.54;29.31;39.07;48.84;58.61;68.38
MFH_RUR_HT_2_DHW_WW;5;2.7;1;0.00;20.39;40.77;61.16;81.55;101.94;122.32;142.71;0.00;15.49;30.98;46.47;61.97;77.46;92.95;108.44;0.00;10.49;20.98;31.47;41.95;52.44;62.93;73.42
MFH_RUR_HT_3_DHW_WW;5;2.7;1;0.00;36.81;72.63;109.44;145.26;182.07;217.89;254.70;0.00;27.68;55.36;83.04;110.72;138.40;166.08;193.76;0.00;19.24;38.47;57.71;76.95;96.19;115.42;134.66
MFH_SUB_HT_0_DHW_WW;5;2.7;1;0.00;108.20;215.40;323.60;430.80;539.00;647.20;754.40;0.00;82.64;165.29;247.93;330.57;413.21;495.86;578.50;0.00;55.70;111.40;167.10;222.80;278.51;334.21;389.91
MFH_SUB_HT_1_DHW_WW;5;2.7;1;0.00;27.98;54.96;82.93;109.91;137.89;164.87;192.84;0.00;23.32;46.63;69.95;93.26;116.58;139.90;163.21;0.00;18.98;37.97;56.95;75.93;94.92;113.90;132.88
MFH_SUB_HT_2_DHW_WW;5;2.7;1;0.00;65.71;131.42;198.13;263.84;329.56;395.27;461.98;0.00;50.61;101.23;151.84;202.46;253.07;303.69;354.30;0.00;36.64;73.28;109.92;146.56;183.19;219.83;256.47
MFH_SUB_HT_3_DHW_WW;5;2.7;1;0.00;4.08;8.16;13.24;17.33;21.41;25.49;29.57;0.00;3.36;6.72;10.08;13.44;16.80;20.16;23.52;0.00;2.05;4.10;6.16;8.21;10.26;12.31;14.37
MFH_URB_HT_0_DHW_WW;5;2.7;1;0.00;57.53;115.06;172.58;230.11;287.64;345.17;402.69;0.00;44.37;88.73;133.10;177.46;221.83;266.19;310.56;0.00;31.05;62.11;93.16;124.22;155.27;186.32;217.38
MFH_URB_HT_1_DHW_WW;5;2.7;1;0.00;2.12;5.24;7.37;9.49;11.61;14.73;16.86;0.00;2.30;4.59;6.89;9.18;11.48;13.78;16.07;0.00;2.27;4.53;6.80;9.07;11.33;13.60;15.87
MFH_URB_HT_2_DHW_WW;5;2.7;1;0.00;79.75;159.50;238.26;318.01;397.76;477.51;556.26;0.00;59.62;119.25;178.87;238.49;298.12;357.74;417.36;0.00;41.33;82.67;124.00;165.34;206.67;248.01;289.34
MFH_URB_HT_3_DHW_WW;5;2.7;1;0.00;10.37;19.73;30.10;40.47;49.83;60.20;70.57;0.00;8.13;16.26;24.39;32.52;40.65;48.78;56.92;0.00;6.25;12.51;18.76;25.01;31.27;37.52;43.77
SFH_RUR_HT_0_DHW_WW;5;2.7;1;0.00;78.36;157.73;236.09;315.46;393.82;472.19;551.55;0.00;61.30;122.61;183.91;245.21;306.52;367.82;429.12;0.00;43.55;87.10;130.66;174.21;217.76;261.31;304.86
SFH_RUR_HT_1_DHW_WW;5;2.7;1;0.00;72.02;144.04;216.06;287.07;359.09;431.11;503.13;0.00;54.99;109.98;164.97;219.96;274.94;329.93;384.92;0.00;38.15;76.29;114.44;152.59;190.73;228.88;267.03
SFH_RUR_HT_2_DHW_WW;5;2.7;1;0.00;27.77;55.55;82.32;110.10;137.87;165.64;193.42;0.00;23.19;46.38;69.56;92.75;115.94;139.13;162.31;0.00;18.50;37.00;55.50;74.00;92.50;111.00;129.50
SFH_RUR_HT_3_DHW_WW;5;2.7;1;0.00;21.31;42.61;62.92;84.22;105.53;126.83;148.14;0.00;16.11;32.21;48.32;64.43;80.54;96.64;112.75;0.00;11.28;22.55;33.83;45.11;56.38;67.66;78.94
SFH_SUB_HT_0_DHW_WW;5;2.7;1;0.00;109.87;218.75;328.62;437.50;547.37;656.24;766.12;0.00;85.06;170.13;255.19;340.26;425.32;510.39;595.45;0.00;59.51;119.01;178.52;238.03;297.53;357.04;416.54
SFH_SUB_HT_1_DHW_WW;5;2.7;1;0.00;61.47;121.93;183.40;244.87;305.33;366.80;428.27;0.00;48.34;96.68;145.02;193.36;241.70;290.04;338.38;0.00;34.68;69.36;104.04;138.72;173.41;208.09;242.77
SFH_SUB_HT_2_DHW_WW;5;2.7;1;0.00;26.41;53.81;80.22;106.63;134.04;160.44;187.85;0.00;20.31;40.62;60.94;81.25;101.56;121.87;142.18;0.00;14.00;28.01;42.01;56.01;70.01;84.02;98.02
SFH_SUB_HT_3_DHW_WW;5;2.7;1;0.00;36.22;71.44;107.67;142.89;179.11;214.33;250.56;0.00;29.83;59.67;89.50;119.34;149.17;179.01;208.84;0.00;24.05;48.11;72.16;96.21;120.27;144.32;168.38
SFH_URB_HT_0_DHW_WW;5;2.7;1;0.00;4.06;8.12;12.18;16.24;21.31;25.37;29.43;0.00;3.23;6.46;9.70;12.93;16.16;19.39;22.62;0.00;2.22;4.43;6.65;8.86;11.08;13.29;15.51
SFH_URB_HT_1_DHW_WW;5;2.7;1;0.00;15.43;30.86;47.28;62.71;78.14;93.57;108.99;0.00;12.44;24.88;37.32;49.76;62.21;74.65;87.09;0.00;8.45;16.90;25.36;33.81;42.26;50.71;59.17
SFH_URB_HT_2_DHW_WW;5;2.7;1;0.00;26.53;53.06;78.59;105.12;131.65;158.18;183.71;0.00;20.27;40.54;60.81;81.07;101.34;121.61;141.88;0.00;14.60;29.19;43.79;58.38;72.98;87.58;102.17
SFH_URB_HT_3_DHW_WW;5;2.7;1;0.00;6.24;11.49;17.73;22.98;29.22;35.47;40.71;0.00;4.89;9.79;14.68;19.58;24.47;29.37;34.26;0.00;3.98;7.95;11.93;15.90;19.88;23.85;27.83