pp;cap_pwr_leg;cap_pwr_leg_yr2020;cap_pwr_leg_yr2025;cap_pwr_leg_yr2030;cap_pwr_leg_yr2035;cap_pwr_leg_yr2040;cap_pwr_leg_yr2045;cap_pwr_leg_yr2050
MFH_RUR_HT_0_HP_AW;0;34;68;102;136;170;204;238
MFH_RUR_HT_1_HP_AW;0;86;173;259;346;432;519;605
MFH_RUR_HT_2_HP_AW;0;109;218;327;436;545;654;763
MFH_RUR_HT_3_HP_AW;0;214;428;642;856;1069;1283;1497
MFH_SUB_HT_0_HP_AW;0;652;1304;1957;2609;3261;3913;4565
MFH_SUB_HT_1_HP_AW;0;165;329;494;659;823;988;1152
MFH_SUB_HT_2_HP_AW;0;403;807;1210;1614;2017;2420;2824
MFH_SUB_HT_3_HP_AW;0;18;36;54;72;90;108;126
MFH_URB_HT_0_HP_AW;0;390;780;1169;1559;1949;2339;2728
MFH_URB_HT_1_HP_AW;0;15;29;44;59;73;88;103
MFH_URB_HT_2_HP_AW;0;497;994;1491;1988;2485;2981;3478
MFH_URB_HT_3_HP_AW;0;61;123;184;245;307;368;429
SFH_RUR_HT_0_HP_AW;0;469;938;1407;1877;2346;2815;3284
SFH_RUR_HT_1_HP_AW;0;403;806;1208;1611;2014;2417;2820
SFH_RUR_HT_2_HP_AW;0;155;311;466;622;777;933;1088
SFH_RUR_HT_3_HP_AW;0;101;202;303;404;505;606;707
SFH_SUB_HT_0_HP_AW;0;673;1346;2018;2691;3364;4037;4709
SFH_SUB_HT_1_HP_AW;0;375;751;1126;1501;1876;2252;2627
SFH_SUB_HT_2_HP_AW;0;154;308;462;617;771;925;1079
SFH_SUB_HT_3_HP_AW;0;212;424;636;848;1060;1272;1484
SFH_URB_HT_0_HP_AW;0;25;51;76;102;127;152;178
SFH_URB_HT_1_HP_AW;0;106;212;317;423;529;635;740
SFH_URB_HT_2_HP_AW;0;164;329;493;657;821;986;1150
SFH_URB_HT_3_HP_AW;0;36;71;107;142;178;213;249
MFH_RUR_HT_0_HP_WW;0;7;15;22;30;37;44;52
MFH_RUR_HT_1_HP_WW;0;15;29;44;58;73;87;102
MFH_RUR_HT_2_HP_WW;0;20;40;60;80;100;120;140
MFH_RUR_HT_3_HP_WW;0;36;71;107;142;178;213;249
MFH_SUB_HT_0_HP_WW;0;106;211;317;422;528;634;739
MFH_SUB_HT_1_HP_WW;0;27;53;80;106;133;159;186
MFH_SUB_HT_2_HP_WW;0;64;128;193;257;321;385;450
MFH_SUB_HT_3_HP_WW;0;4;8;13;17;21;25;29
MFH_URB_HT_0_HP_WW;0;56;112;168;224;280;336;392
MFH_URB_HT_1_HP_WW;0;2;5;7;9;11;14;16
MFH_URB_HT_2_HP_WW;0;78;156;233;311;389;467;544
MFH_URB_HT_3_HP_WW;0;10;19;29;39;48;58;68
SFH_RUR_HT_0_HP_WW;0;77;155;232;310;387;464;542
SFH_RUR_HT_1_HP_WW;0;71;142;213;283;354;425;496
SFH_RUR_HT_2_HP_WW;0;27;54;80;107;134;161;188
SFH_RUR_HT_3_HP_WW;0;21;42;62;83;104;125;146
SFH_SUB_HT_0_HP_WW;0;108;215;323;430;538;645;753
SFH_SUB_HT_1_HP_WW;0;60;119;179;239;298;358;418
SFH_SUB_HT_2_HP_WW;0;26;53;79;105;132;158;185
SFH_SUB_HT_3_HP_WW;0;35;69;104;138;173;207;242
SFH_URB_HT_0_HP_WW;0;4;8;12;16;21;25;29
SFH_URB_HT_1_HP_WW;0;15;30;46;61;76;91;106
SFH_URB_HT_2_HP_WW;0;26;52;77;103;129;155;180
SFH_URB_HT_3_HP_WW;0;6;11;17;22;28;34;39