pp;cap_pwr_leg_hp_retr_1pc;cap_pwr_leg_yr2020_hp_retr_1pc;cap_pwr_leg_yr2025_hp_retr_1pc;cap_pwr_leg_yr2030_hp_retr_1pc;cap_pwr_leg_yr2035_hp_retr_1pc;cap_pwr_leg_yr2040_hp_retr_1pc;cap_pwr_leg_yr2045_hp_retr_1pc;cap_pwr_leg_yr2050_hp_retr_1pc
MFH_RUR_HT_0_HP_AW;0;25;51;76;101;127;152;177
MFH_RUR_HT_1_HP_AW;0;71;142;213;284;355;426;497
MFH_RUR_HT_2_HP_AW;0;82;165;247;330;412;495;577
MFH_RUR_HT_3_HP_AW;0;162;323;485;647;808;970;1132
MFH_SUB_HT_0_HP_AW;0;497;994;1490;1987;2484;2981;3477
MFH_SUB_HT_1_HP_AW;0;138;277;415;554;692;831;969
MFH_SUB_HT_2_HP_AW;0;307;614;921;1229;1536;1843;2150
MFH_SUB_HT_3_HP_AW;0;14;28;43;57;71;85;99
MFH_URB_HT_0_HP_AW;0;298;596;894;1191;1489;1787;2085
MFH_URB_HT_1_HP_AW;0;14;28;42;56;71;85;99
MFH_URB_HT_2_HP_AW;0;370;739;1109;1479;1849;2218;2588
MFH_URB_HT_3_HP_AW;0;49;98;147;196;245;295;344
SFH_RUR_HT_0_HP_AW;0;363;727;1090;1453;1817;2180;2543
SFH_RUR_HT_1_HP_AW;0;307;614;920;1227;1534;1841;2148
SFH_RUR_HT_2_HP_AW;0;130;260;390;520;650;780;910
SFH_RUR_HT_3_HP_AW;0;77;153;230;307;383;460;537
SFH_SUB_HT_0_HP_AW;0;520;1041;1561;2081;2602;3122;3642
SFH_SUB_HT_1_HP_AW;0;295;590;884;1179;1474;1769;2064
SFH_SUB_HT_2_HP_AW;0;116;233;349;465;582;698;814
SFH_SUB_HT_3_HP_AW;0;176;351;527;703;879;1054;1230
SFH_URB_HT_0_HP_AW;0;20;39;59;78;98;118;137
SFH_URB_HT_1_HP_AW;0;84;167;251;334;418;502;585
SFH_URB_HT_2_HP_AW;0;126;252;377;503;629;755;880
SFH_URB_HT_3_HP_AW;0;29;59;88;118;147;177;206
MFH_RUR_HT_0_HP_WW;0;6;11;17;22;28;33;39
MFH_RUR_HT_1_HP_WW;0;12;24;36;48;60;72;84
MFH_RUR_HT_2_HP_WW;0;15;30;45;60;76;91;106
MFH_RUR_HT_3_HP_WW;0;27;54;81;107;134;161;188
MFH_SUB_HT_0_HP_WW;0;80;161;241;322;402;483;563
MFH_SUB_HT_1_HP_WW;0;22;45;67;89;112;134;156
MFH_SUB_HT_2_HP_WW;0;49;98;147;196;245;293;342
MFH_SUB_HT_3_HP_WW;0;3;7;10;13;16;20;23
MFH_URB_HT_0_HP_WW;0;43;86;129;171;214;257;300
MFH_URB_HT_1_HP_WW;0;2;4;7;9;11;13;15
MFH_URB_HT_2_HP_WW;0;58;116;174;231;289;347;405
MFH_URB_HT_3_HP_WW;0;8;16;23;31;39;47;54
SFH_RUR_HT_0_HP_WW;0;60;120;180;240;300;360;420
SFH_RUR_HT_1_HP_WW;0;54;108;162;216;270;324;378
SFH_RUR_HT_2_HP_WW;0;22;45;67;90;112;134;157
SFH_RUR_HT_3_HP_WW;0;16;32;47;63;79;95;111
SFH_SUB_HT_0_HP_WW;0;83;166;250;333;416;499;582
SFH_SUB_HT_1_HP_WW;0;47;94;141;187;234;281;328
SFH_SUB_HT_2_HP_WW;0;20;40;60;80;100;119;139
SFH_SUB_HT_3_HP_WW;0;29;57;86;114;143;172;200
SFH_URB_HT_0_HP_WW;0;3;6;10;13;16;19;22
SFH_URB_HT_1_HP_WW;0;12;24;36;48;60;72;84
SFH_URB_HT_2_HP_WW;0;20;39;59;79;99;118;138
SFH_URB_HT_3_HP_WW;0;5;9;14;19;23;28;33