pp;cap_pwr_leg_hp_retr_2pc_fossil;cap_pwr_leg_yr2020_hp_retr_2pc_fossil;cap_pwr_leg_yr2025_hp_retr_2pc_fossil;cap_pwr_leg_yr2030_hp_retr_2pc_fossil;cap_pwr_leg_yr2035_hp_retr_2pc_fossil;cap_pwr_leg_yr2040_hp_retr_2pc_fossil;cap_pwr_leg_yr2045_hp_retr_2pc_fossil;cap_pwr_leg_yr2050_hp_retr_2pc_fossil
MFH_RUR_HT_0_HP_AW;0;13;27;40;53;67;80;93
MFH_RUR_HT_1_HP_AW;0;46;92;138;185;231;277;323
MFH_RUR_HT_2_HP_AW;0;44;88;131;175;219;263;306
MFH_RUR_HT_3_HP_AW;0;97;194;291;388;485;582;679
MFH_SUB_HT_0_HP_AW;0;316;632;948;1264;1579;1895;2211
MFH_SUB_HT_1_HP_AW;0;99;197;296;394;493;591;690
MFH_SUB_HT_2_HP_AW;0;208;416;623;831;1039;1247;1455
MFH_SUB_HT_3_HP_AW;0;8;16;24;32;40;48;56
MFH_URB_HT_0_HP_AW;0;203;406;608;811;1014;1217;1420
MFH_URB_HT_1_HP_AW;0;11;23;34;45;56;68;79
MFH_URB_HT_2_HP_AW;0;249;498;747;996;1245;1494;1743
MFH_URB_HT_3_HP_AW;0;35;70;105;140;175;210;245
SFH_RUR_HT_0_HP_AW;0;167;334;501;668;836;1003;1170
SFH_RUR_HT_1_HP_AW;0;123;246;369;492;615;739;862
SFH_RUR_HT_2_HP_AW;0;77;153;230;307;383;460;537
SFH_RUR_HT_3_HP_AW;0;28;55;83;110;138;166;193
SFH_SUB_HT_0_HP_AW;0;290;580;870;1159;1449;1739;2029
SFH_SUB_HT_1_HP_AW;0;162;325;487;649;812;974;1136
SFH_SUB_HT_2_HP_AW;0;69;138;207;277;346;415;484
SFH_SUB_HT_3_HP_AW;0;125;250;375;499;624;749;874
SFH_URB_HT_0_HP_AW;0;12;23;35;46;58;70;81
SFH_URB_HT_1_HP_AW;0;51;101;152;202;253;303;354
SFH_URB_HT_2_HP_AW;0;79;158;237;316;396;475;554
SFH_URB_HT_3_HP_AW;0;22;44;66;88;110;132;154
MFH_RUR_HT_0_HP_WW;0;3;6;9;12;14;17;20
MFH_RUR_HT_1_HP_WW;0;8;16;23;31;39;47;54
MFH_RUR_HT_2_HP_WW;0;8;16;24;32;40;48;56
MFH_RUR_HT_3_HP_WW;0;16;32;48;64;81;97;113
MFH_SUB_HT_0_HP_WW;0;51;102;153;205;256;307;358
MFH_SUB_HT_1_HP_WW;0;16;32;48;64;79;95;111
MFH_SUB_HT_2_HP_WW;0;33;66;99;132;165;199;232
MFH_SUB_HT_3_HP_WW;0;2;4;6;7;9;11;13
MFH_URB_HT_0_HP_WW;0;29;58;88;117;146;175;204
MFH_URB_HT_1_HP_WW;0;2;3;5;7;9;10;12
MFH_URB_HT_2_HP_WW;0;39;78;117;156;195;234;273
MFH_URB_HT_3_HP_WW;0;6;11;17;22;28;33;39
SFH_RUR_HT_0_HP_WW;0;28;55;83;110;138;165;193
SFH_RUR_HT_1_HP_WW;0;22;43;65;87;108;130;152
SFH_RUR_HT_2_HP_WW;0;13;26;40;53;66;79;93
SFH_RUR_HT_3_HP_WW;0;6;11;17;23;28;34;40
SFH_SUB_HT_0_HP_WW;0;46;93;139;185;232;278;324
SFH_SUB_HT_1_HP_WW;0;26;52;77;103;129;155;181
SFH_SUB_HT_2_HP_WW;0;12;24;35;47;59;71;83
SFH_SUB_HT_3_HP_WW;0;20;41;61;81;102;122;142
SFH_URB_HT_0_HP_WW;0;2;4;6;8;9;11;13
SFH_URB_HT_1_HP_WW;0;7;15;22;29;36;44;51
SFH_URB_HT_2_HP_WW;0;12;25;37;50;62;74;87
SFH_URB_HT_3_HP_WW;0;3;7;10;14;17;21;24